Data;Total de casos;Casos por dia;Óbitos por dia;;;;;
26/fevereiro/2020;1;1;;;;;;
27/fevereiro/2020;0;0;;;;;;
28/fevereiro/2020;0;0;;;;;;
29/fevereiro/2020;2;1;;;;;;
01/março/2020;0;0;;;;;;
02/março/2020;0;0;;;;;;
03/março/2020;0;0;;;;;;
04/março/2020;3;1;;;;;;
05/março/2020;6;3;;;;;;
06/março/2020;10;4;;;;;;
07/março/2020;13;3;;;;;;
08/março/2020;16;3;;;;;;
09/março/2020;16;0;;;;;;
10/março/2020;19;3;;;;;;
11/março/2020;30;11;;;;;;
12/março/2020;46;16;;;;;;
13/março/2020;56;10;;;;;;
14/março/2020;65;9;;;;;;
15/março/2020;136;71;;;;;;
16/março/2020;152;16;;;;;;
17/março/2020;164;12;1;;;;;
18/março/2020;240;76;3;;;;;
19/março/2020;286;46;1;;;;;
20/março/2020;396;110;4;;;;;
21/março/2020;459;63;6;;;;;
22/março/2020;631;172;7;;;;;
23/março/2020;745;114;8;;;;;
24/março/2020;810;65;10;;;;;
25/março/2020;862;52;8;;;;;
26/março/2020;1052;190;10;;;;;
27/março/2020;1223;171;10;;;;;
28/março/2020;1406;183;16;;;;;
29/março/2020;1451;45;14;;;;;
30/março/2020;1517;66;15;;;;;
31/março/2020;2339;822;23;;;;;
01/abril/2020;2981;642;28;;;;;
02/abril/2020;3506;525;44;;;;;
03/abril/2020;4048;542;11;;;;;
04/abril/2020;4466;418;41;;;;;
05/abril/2020;4620;154;15;;;;;
06/abril/2020;4861;241;29;;;;;
07/abril/2020;5682;821;67;;;;;
08/abril/2020;6708;1026;57;;;;;
09/abril/2020;7480;772;68;;;;;
10/abril/2020;8216;736;44;;;;;
11/abril/2020;8419;203;20;;;;;
12/abril/2020;8755;336;28;;;;;
13/abril/2020;8895;140;20;;;;;
14/abril/2020;9371;476;87;;;;;
15/abril/2020;11043;1672;83;;;;;
16/abril/2020;11568;525;75;;;;;
17/abril/2020;12841;1273;75;;;;;
18/abril/2020;13894;1053;63;;;;;
19/abril/2020;14267;373;24;;;;;
20/abril/2020;14580;313;22;;;;;
21/abril/2020;15385;805;56;;;;;
22/abril/2020;15914;529;41;;;;;
23/abril/2020;16740;826;211;;;;;
